;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;label_propagation_uncertainty_treshold;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;learning_rate;;;;;;;;
Cora;model;56;0.8;16;128;0.5;1;0.003;0.714198286413709;0.0347935348948823;0.678294568489423;0.0425459040045776;0.923214285714286;0.0304096185105828;0.908193840802781;0.0378006209980868
Cora;model;63;0.8;16;128;0.5;1;0.003;0.74406364749082;0.0295196282329066;0.721427972051112;0.0329257454450295;0.917460317460317;0.0234242789642102;0.901965248508543;0.0360537520777702
Cora;model;70;0.8;16;128;0.5;1;0.003;0.751652386780906;0.0194083837196752;0.73062063514872;0.0225519407847356;0.905714285714286;0.0317301547599194;0.887822836363605;0.0433600806821943
Cora;model;77;0.8;16;128;0.5;1;0.003;0.75875152998776;0.0222980574560727;0.737692712693402;0.0217046762732125;0.887012987012987;0.0357241230056757;0.87405362874226;0.0484224488267975
Cora;model;84;0.8;16;128;0.5;1;0.003;0.771236230110159;0.0185757289131447;0.75246799095736;0.0229846567178221;0.885714285714286;0.0377297280127134;0.868075203420015;0.0483600285998294
Cora;model;91;0.8;16;128;0.5;1;0.003;0.77515299877601;0.0180263466956674;0.759910778400861;0.0236506198451291;0.876923076923077;0.0252720707848503;0.860582597412368;0.0339524466456543
Cora;model;98;0.8;16;128;0.5;1;0.003;0.776376988984088;0.0148125854523426;0.759391829904288;0.0181122917033537;0.862244897959184;0.037026430369179;0.849980530001578;0.0465775118732697
Cora;model;105;0.8;16;128;0.5;1;0.003;0.782129742962056;0.0205218708118471;0.765935856648976;0.0246834951988888;0.862857142857143;0.0365286345743302;0.851401454433929;0.0381138058861472
Cora;model;112;0.8;16;128;0.5;1;0.003;0.78421052631579;0.0156858694894554;0.76913298029918;0.0210008371643524;0.877678571428571;0.0401620336334981;0.868408163817039;0.046862559851039
Cora;model;119;0.8;16;128;0.5;1;0.003;0.785556915544676;0.0133184533745267;0.771019195454148;0.0179624696433857;0.873949579831933;0.0256726929689403;0.867789089408545;0.0308463067743423
Cora;model;126;0.8;16;128;0.5;1;0.003;0.789106487148103;0.0152117686025894;0.776292380579094;0.0185347233255229;0.886507936507937;0.0275055951969736;0.882470982663299;0.0280507657470455
Cora;model;133;0.8;16;128;0.5;1;0.003;0.789473684210526;0.0144133184272996;0.776833556744687;0.018116098603246;0.874436090225564;0.0221489234037952;0.868978029523195;0.0228108231516601
Cora;model;140;0.8;16;128;0.5;1;0.003;0.793757649938801;0.0126971573395312;0.781479377065997;0.0167598170416969;0.883571428571429;0.0258747199750422;0.876756272802241;0.0267061408570366
;;140;;;;;;;0.8;;;;;;;
